order_id,date,region,product,sales_rep,units,unit_price,customer_rating,revenue
1001,2024-01-01,West,Gadget Y,David,2,122.65,5.0,245.3
1002,2024-01-01,Central,Widget A,David,35,120.09,5.0,4203.15
1003,2024-01-01,East,Tool Z,David,42,135.9,2.0,5707.8
1004,2024-01-01,Central,Gadget X,Henry,34,28.1,3.0,955.4
1005,2024-01-02,Central,Gadget X,David,30,133.9,,4017.0
1006,2024-01-02,north ,Widget A,Eve,13,69.31,4.0,901.03
1007,2024-01-02,East,Gadget Y,Henry,13,85.82,5.0,1115.66
1008,2024-01-02,East,Gadget Y,Eve,18,173.02,4.0,3114.36
1009,2024-01-03,East,Tool Z,Henry,32,11.72,3.0,375.04
1010,2024-01-03,Central,Widget A,Grace,32,121.8,4.0,3897.6
1011,2024-01-03,West,Gadget X,Bob,35,123.76,5.0,4331.6
1012,2024-01-03,East,Gadget Y,Alice,39,85.37,5.0,3329.43
1013,2024-01-04,Central,Widget A,David,46,55.04,5.0,2531.84
1014,2024-01-04,South,Gadget Y,Grace,29,54.59,,1583.11
1015,2024-01-04,West,Gadget Y,Bob,49,177.9,3.0,8717.1
1016,2024-01-04,South,Gadget X,Alice,29,93.98,5.0,2725.42
1017,2024-01-05,West,Widget B,Frank,44,72.87,5.0,3206.28
1018,2024-01-05,Central,Tool Z,Carol,16,95.27,4.0,1524.32
1019,2024-01-05,North,Tool Z,Eve,44,137.18,5.0,6035.92
1020,2024-01-05,West,Gadget X,Frank,47,37.69,5.0,1771.43
1021,2024-01-06,South,Gadget Y,ALICE,10,95.39,5.0,953.9
1022,2024-01-06,Central,Widget A,Alice,30,121.7,5.0,3651.0
1023,2024-01-06,West,Gadget Y,Frank,25,190.23,4.0,4755.75
1024,2024-01-06,North,Gadget X,Carol,39,57.98,4.0,2261.22
1025,2024-01-07,North,Tool Z,Grace,20,78.26,4.0,1565.2
1026,2024-01-07,East,Gadget Y,Alice,5,82.08,5.0,410.4
1027,2024-01-07,East,Tool Z,Frank,1,125.05,5.0,125.05
1028,2024-01-07,South,Widget A,Eve,30,77.78,5.0,2333.4
1029,2024-01-08,West,Tool Z,Eve,49,111.37,1.0,5457.13
1030,2024-01-08,West,Tool Z,Bob,3,158.54,5.0,475.62
1031,2024-01-08,East,Widget B,Frank,45,144.02,5.0,6480.9
1032,2024-01-08,West,Widget B,David,14,94.81,5.0,1327.34
1033,2024-01-09,West,Widget B,Frank,30,174.2,5.0,5226.0
1034,2024-01-09,North,Tool Z,Grace,4,116.05,,464.2
1035,2024-01-09,East,Gadget X,Alice,18,112.58,4.0,2026.44
1036,2024-01-09,Central,Tool Z,Alice,37,16.5,4.0,610.5
1037,2024-01-10,East,Gadget X,Grace,25,197.47,2.0,4936.75
1038,2024-01-10,Central,Gadget X,Frank,48,33.36,4.0,1601.28
1039,2024-01-10,North,Widget B,Grace,1,53.91,5.0,53.91
1040,2024-01-10,north ,Gadget Y,Carol,46,19.82,5.0,911.72
1041,2024-01-11,West,Widget A,Henry,15,131.6,3.0,1974.0
1042,2024-01-11,North,Widget B,Grace,9,52.69,2.0,474.21
1043,2024-01-11,West,Widget B,Eve,15,44.2,5.0,663.0
1044,2024-01-11,South,Gadget Y,Grace,49,26.83,1.0,1314.67
1045,2024-01-12,South,Widget A,Alice,24,29.63,3.0,711.12
1046,2024-01-12,North,Tool Z,Eve,4,121.09,1.0,484.36
1047,2024-01-12,South,Tool Z,Alice,12,140.76,3.0,1689.12
1048,2024-01-12,Central,Widget B,Bob,37,85.5,3.0,3163.5
1049,2024-01-13,South,Widget A,David,37,101.18,4.0,3743.66
1050,2024-01-13,West,Widget B,Alice,43,140.33,4.0,6034.19
1051,2024-01-13,West,Gadget X,Eve,6,13.3,5.0,79.8
1052,2024-01-13,West,Widget B,Bob,39,71.39,4.0,2784.21
1053,2024-01-14,West,Widget B,Alice,46,194.89,5.0,8964.94
1054,2024-01-14,Central,Tool Z,Carol,24,120.22,2.0,2885.28
1055,2024-01-14,East,Tool Z,Grace,11,58.3,3.0,641.3
1056,2024-01-14,North,Tool Z,David,13,109.13,5.0,1418.69
1057,2024-01-15,West,Gadget X,Alice,34,75.1,2.0,2553.4
1058,2024-01-15,north ,Tool Z,Bob,25,111.13,4.0,2778.25
1059,2024-01-15,West,Widget A,Carol,7,33.89,4.0,237.23
1060,2024-01-15,South,Gadget Y,Frank,4,35.22,5.0,140.88
1061,2024-01-16,South,Widget A,Bob,8,37.27,1.0,298.16
1062,2024-01-16,West,Widget A,Grace,20,188.57,4.0,3771.4
1063,2024-01-16,Central,Tool Z,Bob,29,149.25,5.0,4328.25
1064,2024-01-16,South,Gadget Y,Carol,45,40.85,2.0,1838.25
1065,2024-01-17,South,Gadget Y,Bob,46,45.79,5.0,2106.34
1066,2024-01-17,West,Gadget Y,Carol,10,148.86,5.0,1488.6
1067,2024-01-17,South,Gadget X,Alice,43,39.67,,1705.81
1068,2024-01-17,South,Tool Z,Henry,34,54.57,3.0,1855.38
1069,2024-01-18,West,Gadget Y,Carol,26,193.04,5.0,5019.04
1070,2024-01-18,West,Gadget X,Carol,41,58.51,,2398.91
