txn_id,customer_id,txn_date,category,amount
1,6,2024-01-01 00:00,Food,238.24
2,105,2024-01-01 08:00,Home,349.48
3,94,2024-01-01 16:00,Clothing,73.71
4,74,2024-01-02 00:00,Electronics,256.18
5,45,2024-01-02 08:00,Food,220.25
6,56,2024-01-02 16:00,Electronics,218.64
7,40,2024-01-03 00:00,Food,98.08
8,79,2024-01-03 08:00,Food,313.28
9,71,2024-01-03 16:00,Electronics,337.68
10,63,2024-01-04 00:00,Electronics,319.98
11,3,2024-01-04 08:00,Electronics,372.66
12,38,2024-01-04 16:00,Home,231.82
13,87,2024-01-05 00:00,Clothing,427.04
14,47,2024-01-05 08:00,Home,287.75
15,10,2024-01-05 16:00,Clothing,441.5
16,36,2024-01-06 00:00,Electronics,208.03
17,16,2024-01-06 08:00,Electronics,351.57
18,21,2024-01-06 16:00,Food,102.42
19,33,2024-01-07 00:00,Food,46.12
20,100,2024-01-07 08:00,Clothing,466.09
21,22,2024-01-07 16:00,Home,188.56
22,71,2024-01-08 00:00,Food,27.62
23,85,2024-01-08 08:00,Home,311.13
24,1,2024-01-08 16:00,Electronics,466.96
25,85,2024-01-09 00:00,Clothing,385.66
26,34,2024-01-09 08:00,Food,493.69
27,22,2024-01-09 16:00,Electronics,467.88
28,67,2024-01-10 00:00,Books,230.49
29,12,2024-01-10 08:00,Food,120.79
30,48,2024-01-10 16:00,Electronics,37.29
31,12,2024-01-11 00:00,Books,139.7
32,37,2024-01-11 08:00,Clothing,317.92
33,73,2024-01-11 16:00,Clothing,455.89
34,44,2024-01-12 00:00,Food,5.85
35,72,2024-01-12 08:00,Home,409.65
36,54,2024-01-12 16:00,Home,383.41
37,8,2024-01-13 00:00,Electronics,347.04
38,22,2024-01-13 08:00,Clothing,68.3
39,20,2024-01-13 16:00,Home,31.36
40,104,2024-01-14 00:00,Food,369.69
41,87,2024-01-14 08:00,Clothing,322.5
42,46,2024-01-14 16:00,Home,188.1
43,51,2024-01-15 00:00,Books,176.03
44,100,2024-01-15 08:00,Food,21.16
45,82,2024-01-15 16:00,Electronics,496.75
46,34,2024-01-16 00:00,Clothing,419.14
47,9,2024-01-16 08:00,Books,487.22
48,80,2024-01-16 16:00,Books,409.93
49,75,2024-01-17 00:00,Home,232.13
50,19,2024-01-17 08:00,Clothing,423.36
51,92,2024-01-17 16:00,Food,103.19
52,60,2024-01-18 00:00,Home,337.87
53,82,2024-01-18 08:00,Food,122.42
54,91,2024-01-18 16:00,Electronics,199.28
55,104,2024-01-19 00:00,Home,436.48
56,1,2024-01-19 08:00,Food,215.35
57,73,2024-01-19 16:00,Electronics,447.39
58,14,2024-01-20 00:00,Books,301.78
59,25,2024-01-20 08:00,Home,150.4
60,13,2024-01-20 16:00,Clothing,133.88
61,50,2024-01-21 00:00,Food,6.67
62,99,2024-01-21 08:00,Electronics,288.19
63,68,2024-01-21 16:00,Food,420.09
64,97,2024-01-22 00:00,Electronics,116.24
65,91,2024-01-22 08:00,Clothing,242.23
66,82,2024-01-22 16:00,Books,492.03
67,76,2024-01-23 00:00,Electronics,199.73
68,2,2024-01-23 08:00,Books,469.53
69,38,2024-01-23 16:00,Books,414.16
70,38,2024-01-24 00:00,Food,249.83
71,55,2024-01-24 08:00,Food,319.51
72,74,2024-01-24 16:00,Home,37.46
73,92,2024-01-25 00:00,Books,260.63
74,84,2024-01-25 08:00,Books,381.17
75,44,2024-01-25 16:00,Clothing,119.03
76,51,2024-01-26 00:00,Books,30.49
77,85,2024-01-26 08:00,Food,19.55
